Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.26608E-9,0.000000627,0.000006524,1,0,0
1.01844E-8,0.000003525,0.000010604,0.999499437,0,0
2.22306E-8,0.00001689,0.000023147,0.998623451,0,0
3.44706E-8,0.000031428,0.000035891,0.997997747,0,0
4.03606E-8,0.000052865,0.000042023,0.997246903,0,0
5.38386E-8,0.000109794,0.000056055,0.995745213,0,0
6.32058E-8,0.000274886,0.000065808,0.992366412,0,0
9.09626E-8,0.0006085,0.000094704,0.987110499,0,0
1.32881E-7,0.001040688,0.000138341,0.98248029,0,0
2.16425E-7,0.002511401,0.000225298,0.972343887,0,0
3.00489E-7,0.005012352,0.000312781,0.96008009,0,0
4.8745E-7,0.010015504,0.000507291,0.94406207,0,0
8.32666E-7,0.025048942,0.000866248,0.913903141,0,0
1.08396E-6,0.067171186,0.001127386,0.863721687,0,0
1.38617E-6,0.152101365,0.001441246,0.784007008,0.000465766,0
1.87603E-6,0.200365348,0.001949578,0.748592166,0.001397299,0
2.00198E-6,0.319229716,0.002080187,0.673883119,0.001397299,0
2.58895E-6,0.400316962,0.002688455,0.629708422,0.003726129,0
3.27843E-6,0.533793605,0.003401988,0.575772744,0.003726129,0
3.77877E-6,0.600048885,0.003919155,0.551995995,0.004657662,0
5.24385E-6,0.714949811,0.005430411,0.5207108,0.00605496,0
5.47456E-6,0.759248912,0.005667976,0.510449255,0.00605496,0
5.92279E-6,0.811318228,0.006129198,0.499186585,0.00605496,0
6.79564E-6,0.900114489,0.007026117,0.482042298,0.006986493,0
8.58358E-6,1.011569585,0.008858328,0.463771743,0.007918025,0
9.35653E-6,1.101391233,0.009648324,0.451382806,0.008383791,0
1.0406E-5,1.203508404,0.010718883,0.438368164,0.010712622,0
1.14889E-5,1.300851228,0.01182124,0.427105494,0.010712622,0
1.31736E-5,1.401599745,0.013531141,0.416843949,0.013507219,0
1.41228E-5,1.502642625,0.014491999,0.407583531,0.020027946,0
1.76573E-5,1.755786337,0.01805347,0.387811288,0.021425245,0
2.01516E-5,2.001690014,0.020551258,0.371417845,0.026082906,0
2.19787E-5,2.252524362,0.022372897,0.356651233,0.028411737,0
2.47655E-5,2.500714869,0.025138363,0.343261169,0.029809036,0
2.63571E-5,2.752380454,0.026710783,0.330872231,0.036795529,0
2.97381E-5,3.001419503,0.030034265,0.319734702,0.040521658,0
3.17305E-5,3.262414546,0.031982121,0.309222876,0.041918957,0
3.42553E-5,3.579176974,0.034439367,0.297459642,0.043782021,0
3.59185E-5,3.75665202,0.036051214,0.291077462,0.04517932,0
3.86991E-5,4.003402868,0.038733987,0.28281817,0.048905449,0
