lon,lat,BMSB_PA1_RUN5 logistic values
-41.7918061085,83.1248604185,3.8007264E-10
-74.1251393125,82.9581937525,3.706236E-11
-30.4584728205,82.9581937525,5.7204635E-10
-42.9584727705,82.8748604195,3.8007264E-10
-80.8751392855,82.7915270865,3.8007264E-10
-75.5418059735,82.7915270865,5.7204635E-10
-37.7918061245,82.7915270865,3.8007264E-10
-75.2918059745,82.7081937535,5.7204635E-10
-64.4584726845,82.7081937535,5.7204635E-10
-67.5418060055,82.6248604205,5.7204635E-10
-41.8751394415,82.4581937545,3.8007264E-10
-81.2084726175,82.3748604215,3.8007264E-10
-77.2918059665,82.3748604215,3.8007264E-10
-40.7084727795,82.3748604215,3.8007264E-10
-78.3751392955,82.2915270885,3.8007264E-10
-66.5418060095,82.2915270885,5.7204635E-10
-43.3751394355,82.2915270885,3.8007264E-10
-36.9584727945,82.2081937555,3.8007264E-10
-33.1251394765,82.2081937555,5.7204635E-10
-31.7918061485,82.2081937555,5.7204635E-10
-86.5418059295,82.1248604225,2.4624558E-11
-38.1251394565,82.1248604225,3.8007264E-10
-65.4584726805,82.0415270895,5.7204635E-10
-63.6251393545,82.0415270895,5.7204635E-10
-48.5418060815,82.0415270895,3.8007264E-10
-27.8751394975,82.0415270895,4.149922E-10
-87.8751392575,81.9581937565,3.8007264E-10
-84.7084726035,81.9581937565,3.8007264E-10
-70.8751393255,81.9581937565,5.7204635E-10
-52.7918060645,81.9581937565,3.8007264E-10
-37.9584727905,81.9581937565,3.8007264E-10
-75.3751393075,81.8748604235,3.8007264E-10
-40.9584727785,81.8748604235,3.8007264E-10
-33.7084728075,81.8748604235,5.7204635E-10
-67.1251393405,81.7081937575,5.7204635E-10
-53.3751393955,81.7081937575,3.8007264E-10
-32.9584728105,81.7081937575,5.7204635E-10
-91.7084725755,81.6248604245,2.4624558E-11
-88.0418059235,81.6248604245,3.8007264E-10
-40.7918061125,81.6248604245,3.8007264E-10
-32.1251394805,81.6248604245,4.149922E-10
-32.8751394775,81.5415270915,5.7204635E-10
-17.7918062045,81.5415270915,3.0953853E-8
-74.4584726445,81.4581937585,3.8007264E-10
-59.7084727035,81.4581937585,3.8007264E-10
-49.5418060775,81.4581937585,3.8007264E-10
-36.3751394635,81.4581937585,5.7204635E-10
-13.4584728885,81.4581937585,9.761882E-9
59.0415268215,81.4581937585,2.4022978E-7
-81.6251392825,81.3748604255,3.8007264E-10
-77.5418059655,81.3748604255,3.8007264E-10
-64.5418060175,81.3748604255,3.3552755E-8
-53.6251393945,81.3748604255,3.8007264E-10
-35.9584727985,81.3748604255,5.7204635E-10
