Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.33489E-13,0.000000001,0,0.947401378,0.000219539,0
7.01254E-13,0.000000003,0,0.942642455,0.000219539,0
1.46046E-12,0.00000001,0,0.931246086,0.000219539,0
3.45233E-12,0.00000003,0.000000001,0.920976832,0.000219539,0
1.47449E-11,0.000000104,0.000000004,0.910832812,0.000219539,0
1.84111E-11,0.00000025,0.000000006,0.899060739,0.000219539,0
4.41989E-11,0.000001001,0.000000013,0.866249217,0.000219539,0
1.0755E-10,0.000002579,0.000000032,0.842579837,0.000219539,0
2.89347E-10,0.000011116,0.000000087,0.787977458,0.000219539,0
6.43661E-10,0.000025022,0.000000194,0.748278021,0.000219539,0
1.17332E-9,0.000050344,0.000000353,0.713337508,0.000219539,0
2.00454E-9,0.000100142,0.000000604,0.672385723,0.000219539,0
4.83251E-9,0.000251853,0.000001456,0.614527239,0.000219539,0
7.79195E-9,0.000501332,0.000002347,0.5661866,0.000219539,0
1.64591E-8,0.001001756,0.000004958,0.511959925,0.000329308,0
4.14122E-8,0.00250043,0.000012475,0.444082655,0.000439078,0
8.48423E-8,0.005003867,0.000025558,0.391984972,0.000658617,0
1.77318E-7,0.010049924,0.000053414,0.341390106,0.000987925,0
5.35466E-7,0.025015315,0.000161283,0.285410144,0.001866081,0
1.12466E-6,0.050007424,0.000338689,0.245209768,0.002524698,0
2.56458E-6,0.100010683,0.000771983,0.209142142,0.007574094,0
4.9769E-6,0.200317075,0.001497047,0.175453976,0.010867179,0
8.06055E-6,0.30051444,0.002422359,0.155541641,0.014489572,0
1.1179E-5,0.400325254,0.003356383,0.142391985,0.016904501,0
1.48046E-5,0.500452401,0.0044401,0.132623669,0.018880351,0
1.83942E-5,0.600299563,0.005510715,0.124984346,0.019978046,0
2.17989E-5,0.700236661,0.006524079,0.11859737,0.021075741,0
2.49389E-5,0.750246863,0.007456821,0.115967439,0.021405049,0
2.67681E-5,0.802235861,0.007999376,0.113462743,0.022502744,0
3.12866E-5,0.900641889,0.009337094,0.109204759,0.024478595,0
3.59984E-5,1.000231678,0.010728176,0.105447714,0.028540066,0
4.20003E-5,1.102369282,0.012494507,0.102191609,0.030845225,0
4.70603E-5,1.200522299,0.013978749,0.099436443,0.031503842,0
5.16161E-5,1.304341794,0.015311284,0.096806512,0.03413831,0
5.64267E-5,1.401035772,0.016714421,0.094552286,0.035784852,0
6.18522E-5,1.501656369,0.018292144,0.092423294,0.039846323,0
7.19282E-5,1.752966524,0.021208828,0.087664371,0.04467618,0
8.12605E-5,2.000808653,0.023894802,0.083656857,0.04687157,0
9.40768E-5,2.253548454,0.027559589,0.080025047,0.050164654,0
1.05274E-4,2.504741903,0.030738996,0.076894177,0.054555434,0
1.12267E-4,2.756399361,0.032713998,0.074013776,0.055543359,0
1.21098E-4,3.001085386,0.035196874,0.071383845,0.057189901,0
1.33106E-4,3.255947724,0.038552222,0.068879148,0.060263447,0
1.38673E-4,3.501158302,0.040100096,0.066624922,0.060702525,0
1.50812E-4,3.764327321,0.043457873,0.064370695,0.062897914,0
1.67778E-4,4.000249819,0.048111428,0.062492173,0.065203074,0
1.8096E-4,4.250964551,0.05169617,0.060738885,0.072447859,0
1.93311E-4,4.51397499,0.055030306,0.058985598,0.075082327,0
2.04802E-4,4.751843435,0.058111278,0.05748278,0.079034029,0
2.19872E-4,5.001892209,0.062121648,0.055979962,0.081009879,0
2.29657E-4,5.255633615,0.064707592,0.054602379,0.08507135,0
2.38315E-4,5.5122186,0.066983622,0.053224796,0.08726674,0
2.58839E-4,5.761753501,0.072334932,0.051972448,0.091108672,0
2.76833E-4,6.00354225,0.076976356,0.050845335,0.095938529,0
2.93892E-4,6.250716858,0.081333975,0.049718222,0.103512623,0
3.05085E-4,6.503193861,0.084171085,0.048716343,0.1064764,0
3.19619E-4,6.784353699,0.087828641,0.04758923,0.115806806,0
3.34946E-4,7.014274584,0.091654498,0.046712586,0.11909989,0
3.58194E-4,7.258664412,0.097396448,0.045835942,0.122941822,0
3.70961E-4,7.504338593,0.100518975,0.044959299,0.12349067,0
3.96528E-4,7.756453448,0.106707371,0.044082655,0.126454446,0
4.08625E-4,8.027816177,0.109605964,0.043331246,0.127442371,0
4.18612E-4,8.276178912,0.111984983,0.042579837,0.131284303,0
4.27479E-4,8.531504532,0.11408629,0.041828428,0.132162459,0
4.37001E-4,8.760637845,0.116332,0.041077019,0.133150384,0
4.54882E-4,9.015312508,0.120518187,0.040450845,0.13413831,0
4.76802E-4,9.296316082,0.125596437,0.039699436,0.135565313,0
4.91693E-4,9.540187854,0.12901297,0.039073262,0.13611416,0
4.99628E-4,9.84312878,0.13082249,0.038196619,0.136443469,0
5.08365E-4,10.000849357,0.132806485,0.037820914,0.137211855,0
5.24928E-4,10.250141322,0.136542514,0.037319975,0.138419319,0
5.43064E-4,10.502930812,0.140596782,0.036693801,0.14248079,0
5.54134E-4,10.78565653,0.143052852,0.036067627,0.145225027,0
5.91463E-4,11.010162722,0.151232144,0.035566688,0.151701427,0
6.10864E-4,11.263879992,0.15542182,0.035065748,0.156641054,0
6.22565E-4,11.512289234,0.157928564,0.034564809,0.158177827,0
6.56527E-4,11.772033537,0.165121454,0.03406387,0.161361142,0
6.77537E-4,12.015241821,0.169509854,0.03356293,0.161909989,0
6.91469E-4,12.304275804,0.172394416,0.033061991,0.162239297,0
7.08147E-4,12.525207464,0.175821568,0.032686287,0.163227223,0
7.17366E-4,12.812158501,0.177703657,0.032185348,0.164215148,0
7.60451E-4,13.001483624,0.186387286,0.031809643,0.170032931,0
7.70222E-4,13.269128463,0.18833104,0.031433939,0.170801317,0
7.96754E-4,13.505938259,0.193562846,0.031058234,0.172996707,0
8.1527E-4,13.750789378,0.197174173,0.030557295,0.174972558,0
8.29044E-4,14.058841161,0.199839833,0.03018159,0.175740944,0
8.38954E-4,14.329893254,0.201746521,0.029805886,0.182217344,0
8.54086E-4,14.515918711,0.204640708,0.029430182,0.183754116,0
8.72823E-4,14.760492867,0.208195584,0.029179712,0.184632272,0
8.83178E-4,15.011636319,0.21014647,0.028804008,0.18518112,0
8.98159E-4,15.254885006,0.212952004,0.028428303,0.185949506,0
9.13822E-4,15.566148611,0.215864116,0.028052599,0.187047201,0
9.22233E-4,15.763359977,0.217418981,0.027676894,0.18726674,0
9.32371E-4,16.02902648,0.219284794,0.027426425,0.187815587,0
9.54388E-4,16.31375283,0.223306766,0.02705072,0.188035126,0
