Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.98377E-14,0.000000001,0,0.805826457,0,0
1.91316E-13,0.000000003,0,0.788322081,0,0
7.34462E-13,0.00000001,0,0.765941485,0,0
1.41524E-12,0.000000025,0,0.748187047,0,0
4.32555E-12,0.000000101,0.000000001,0.710302576,0,0
1.19155E-11,0.000000251,0.000000002,0.685671418,0,0
3.45817E-11,0.000001001,0.000000006,0.643285821,0,0
8.19633E-11,0.000002502,0.000000015,0.610277569,0.001828154,0
3.46431E-10,0.000010121,0.000000062,0.55963991,0.005484461,0
8.90386E-10,0.000025077,0.000000159,0.524756189,0.005484461,0
1.77252E-9,0.00005001,0.000000316,0.499249812,0.007312614,0
3.43036E-9,0.000100187,0.000000611,0.473618405,0.009140768,0
6.79657E-9,0.000250079,0.00000121,0.436234059,0.014625229,0
1.18536E-8,0.000501332,0.00000211,0.402350588,0.020109689,0
2.43309E-8,0.001001314,0.000004331,0.367341835,0.023765996,0
5.25323E-8,0.002637676,0.000009351,0.315328832,0.029250457,0
1.22558E-7,0.005004173,0.000021817,0.279694924,0.036563071,0
2.43865E-7,0.010026474,0.000043409,0.242810703,0.036563071,0
7.57089E-7,0.025008626,0.000134754,0.202550638,0.054844607,0
1.53803E-6,0.05021671,0.000273716,0.175668917,0.058500914,0
2.98655E-6,0.101057944,0.000531365,0.147286822,0.063985375,0
6.95413E-6,0.200160995,0.001236403,0.121405351,0.078610603,0
1.08774E-5,0.300663909,0.001932591,0.107026757,0.085923218,0
1.62221E-5,0.401115112,0.002879449,0.097524381,0.095063985,0
2.10567E-5,0.500233915,0.003734392,0.091022756,0.100548446,0
2.62741E-5,0.601126564,0.004655387,0.085646412,0.1023766,0
2.95162E-5,0.701354683,0.005226831,0.081145286,0.109689214,0
3.18282E-5,0.756974327,0.005633955,0.078894724,0.111517367,0
3.46481E-5,0.800531487,0.006130036,0.077269317,0.115173675,0
4.05574E-5,0.902497229,0.007168038,0.073893473,0.115173675,0
