Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.39433E-13,0.000000001,0.000000001,0.978602895,0.000147059,0
3.45471E-12,0.000000003,0.000000005,0.977721838,0.000147059,0
7.15747E-12,0.00000001,0.000000009,0.975959723,0.000147059,0
1.6923E-11,0.000000028,0.000000022,0.974197609,0.000147059,0
4.35323E-11,0.000000108,0.000000057,0.970799245,0.000147059,0
7.47866E-11,0.000000251,0.000000098,0.967526746,0.000147059,0
1.94799E-10,0.000001007,0.000000256,0.959848962,0.000147059,0
3.3328E-10,0.000002611,0.000000438,0.952045312,0.000294118,0
8.15565E-10,0.000010211,0.000001073,0.935556954,0.000588235,0
1.544E-9,0.00002515,0.000002031,0.919068597,0.000588235,0
2.39638E-9,0.000050469,0.000003152,0.902706104,0.000588235,0
3.82517E-9,0.000100023,0.000005032,0.881938326,0.000588235,0
7.34413E-9,0.000250177,0.000009661,0.846318439,0.000882353,0
1.52421E-8,0.000500919,0.000020051,0.817369415,0.001176471,0
2.93443E-8,0.001000196,0.000038601,0.787916929,0.001323529,0
6.78809E-8,0.002517547,0.000089291,0.74751416,0.001764706,0
1.21131E-7,0.005007228,0.000159325,0.713782253,0.002941176,0
2.08086E-7,0.010001541,0.000273665,0.675393329,0.002941176,0
3.91069E-7,0.025019062,0.000514194,0.609439899,0.003088235,0
6.78505E-7,0.050063387,0.000891789,0.54940214,0.003235294,0
1.30934E-6,0.10001966,0.001719497,0.482819383,0.003970588,0
2.90041E-6,0.200550156,0.003801044,0.418879799,0.004705882,0
4.74285E-6,0.300155202,0.006200617,0.385399622,0.006470588,0
6.42746E-6,0.400344354,0.008384546,0.362366268,0.007205882,0
8.41459E-6,0.500582639,0.010948348,0.344996853,0.007941176,0
1.04021E-5,0.600207574,0.013499377,0.331529264,0.010441176,0
1.34535E-5,0.701206653,0.017390539,0.320830711,0.010441176,0
1.49034E-5,0.753955964,0.01922872,0.316173694,0.011617647,0
1.55362E-5,0.801015996,0.020028853,0.312271869,0.011617647,0
1.75496E-5,0.900278553,0.022565815,0.30471995,0.011911765,0
2.02982E-5,1.001895455,0.026008134,0.298049087,0.012352941,0
2.28025E-5,1.103346615,0.029123428,0.292133417,0.012647059,0
2.49643E-5,1.201242464,0.031796785,0.286972939,0.012647059,0
2.73085E-5,1.301185279,0.034678982,0.282190057,0.012794118,0
3.08864E-5,1.40260262,0.039045169,0.27778477,0.013235294,0
3.4476E-5,1.506022686,0.043386077,0.27375708,0.015882353,0
4.23644E-5,1.753902186,0.052789089,0.265701699,0.016617647,0
4.67829E-5,2.000875223,0.057975719,0.258779106,0.017647059,0
5.31787E-5,2.262904917,0.065383453,0.252108244,0.019117647,0
5.79799E-5,2.502305942,0.070868265,0.246696035,0.019705882,0
6.2958E-5,2.750977892,0.076487519,0.241535557,0.022352941,0
6.78108E-5,3.026384994,0.081900274,0.236249213,0.022794118,0
7.18871E-5,3.269781726,0.086398207,0.231843927,0.024117647,0
7.83758E-5,3.503732132,0.093467853,0.227942102,0.030147059,0
8.15119E-5,3.751656629,0.096845572,0.224040277,0.033382353,0
8.72256E-5,4.00553646,0.10293531,0.220264317,0.034705882,0
9.11468E-5,4.256798356,0.107067339,0.216740088,0.038088235,0
9.59593E-5,4.501079003,0.112086804,0.21346759,0.039117647,0
9.90861E-5,4.764663649,0.115317877,0.210069226,0.040441176,0
1.03497E-4,5.006886673,0.11983626,0.207048458,0.042058824,0
1.0852E-4,5.250761565,0.124925235,0.204153556,0.043088235,0
1.13187E-4,5.506349286,0.129601995,0.201258653,0.044264706,0
1.18579E-4,5.772058668,0.134942432,0.198363751,0.045147059,0
1.22859E-4,6.002298769,0.139135842,0.19597231,0.046617647,0
1.26824E-4,6.25258999,0.142983676,0.193455003,0.047941176,0
1.31429E-4,6.510173093,0.147410804,0.190937697,0.048382353,0
1.36253E-4,6.752120425,0.151998298,0.188672121,0.049852941,0
1.40463E-4,7.001736909,0.155962237,0.186406545,0.050441176,0
1.43431E-4,7.257451353,0.158734664,0.184140969,0.051764706,0
1.45327E-4,7.547366704,0.16049678,0.181497797,0.052352941,0
1.51254E-4,7.755683554,0.165955457,0.179861548,0.054117647,0
1.57455E-4,8.02013167,0.171591818,0.177721838,0.056029412,0
1.62622E-4,8.260311991,0.176230545,0.175833858,0.056617647,0
1.66889E-4,8.507073422,0.180022073,0.173945878,0.058382353,0
1.69175E-4,8.759284571,0.182039558,0.172057898,0.060147059,0
1.75786E-4,9.00068712,0.187817091,0.170295784,0.0625,0
1.78624E-4,9.266311367,0.190272262,0.168407804,0.063823529,0
1.82392E-4,9.500799639,0.193509274,0.166771554,0.067058824,0
1.90115E-4,9.759479932,0.200064248,0.16500944,0.07,0
1.91771E-4,10.030124412,0.201455158,0.163247325,0.071029412,0
1.96754E-4,10.25359667,0.205613364,0.161736941,0.073676471,0
1.9972E-4,10.501117213,0.208068057,0.160226558,0.076911765,0
2.0655E-4,10.756049271,0.213663282,0.158590308,0.079117647,0
2.09175E-4,11.056991715,0.21579295,0.156702329,0.08,0
2.12526E-4,11.268293329,0.218494462,0.155569541,0.082058824,0
2.1633E-4,11.504156008,0.221538806,0.154185022,0.083382353,0
2.19144E-4,11.76560475,0.223775617,0.152674638,0.084852941,0
2.21742E-4,12.008232143,0.22582955,0.15129012,0.085882353,0
2.25692E-4,12.25493159,0.228931889,0.149905601,0.086911765,0
2.29757E-4,12.505042273,0.232098083,0.148521082,0.089264706,0
2.33895E-4,12.760397628,0.235294663,0.147136564,0.090588235,0
2.39829E-4,13.002139919,0.239832118,0.145752045,0.092794118,0
2.44498E-4,13.264770962,0.243364904,0.144493392,0.094411765,0
2.46612E-4,13.535084428,0.244954097,0.143108874,0.095441176,0
2.49845E-4,13.758401046,0.247370999,0.141976086,0.097794118,0
2.51319E-4,14.008870168,0.248467559,0.140717432,0.098970588,0
2.54364E-4,14.261843659,0.250723373,0.139458779,0.099558824,0
2.56484E-4,14.525424976,0.252285579,0.138074261,0.1,0
2.60279E-4,14.750199695,0.255066829,0.137067338,0.103235294,0
2.63444E-4,15.012664301,0.257370112,0.135808685,0.104264706,0
2.64424E-4,15.435542349,0.258080371,0.133668974,0.104264706,0
2.65178E-4,15.515051722,0.258625992,0.133417244,0.106176471,0
2.71616E-4,15.757780499,0.263251627,0.132284456,0.108823529,0
2.76071E-4,16.004119383,0.266419219,0.131151668,0.109117647,0
2.79591E-4,16.252893619,0.268903066,0.13001888,0.11,0
2.81936E-4,16.50731857,0.27054756,0.128886092,0.114264706,0
2.83906E-4,16.762020412,0.271924148,0.127753304,0.115882353,0
2.86121E-4,17.018332851,0.273465822,0.126620516,0.117647059,0
2.89424E-4,17.273878228,0.275752344,0.125487728,0.121911765,0
2.92798E-4,17.505632586,0.278072735,0.124480806,0.122352941,0
2.96955E-4,17.805071555,0.280911571,0.123222152,0.122794118,0
3.00017E-4,18.014108651,0.282988369,0.122341095,0.123529412,0
3.00432E-4,18.284423239,0.283268756,0.121082442,0.123676471,0
3.04581E-4,18.526786182,0.286061743,0.120201385,0.1275,0
3.09459E-4,18.772662634,0.289317597,0.119194462,0.128529412,0
3.13568E-4,19.022325631,0.292037496,0.118187539,0.131029412,0
3.18982E-4,19.31012819,0.295589456,0.116928886,0.132352941,0
3.23495E-4,19.501238344,0.298523257,0.116299559,0.133088235,0
3.26209E-4,19.761367771,0.300275257,0.115292637,0.133970588,0
3.28706E-4,20.023206346,0.301880173,0.114285714,0.136323529,0
3.35295E-4,20.25587987,0.306079142,0.113404657,0.140882353,0
3.40801E-4,20.518624643,0.309549588,0.112397734,0.144558824,0
3.43726E-4,20.766838053,0.311379143,0.111390812,0.149411765,0
3.48496E-4,21.009642085,0.31434182,0.11063562,0.150588235,0
3.55412E-4,21.257824307,0.318592497,0.109754563,0.1525,0
3.5738E-4,21.510372635,0.319792402,0.10874764,0.153088235,0
3.59579E-4,21.758697515,0.321128487,0.107992448,0.155588235,0
3.61062E-4,22.010667511,0.322026418,0.107111391,0.156617647,0
3.64597E-4,22.25371951,0.324157444,0.106230334,0.160441176,0
3.7035E-4,22.505094788,0.327596189,0.105349276,0.165294118,0
3.7245E-4,22.782263656,0.328843426,0.104342354,0.167058824,0
3.75824E-4,23.006848734,0.330836865,0.103713027,0.168970588,0
