lon,lat,BMSB_PA1_RUN1 logistic values
-41.6251394425,83.2915270845,6.104797E-12
-40.5418061135,83.2081937515,1.6517364E-12
-40.2918061145,83.2081937515,6.104797E-12
-40.0418061155,83.2081937515,6.104797E-12
-27.8751394975,83.2081937515,6.104797E-12
-39.2918061185,83.0415270855,6.104797E-12
-36.5418061295,83.0415270855,1.6517364E-12
-31.1251394845,83.0415270855,1.6517364E-12
-71.3751393235,82.8748604195,6.104797E-12
-71.1251393245,82.8748604195,6.104797E-12
-70.6251393265,82.8748604195,6.104797E-12
-44.3751394315,82.7915270865,6.104797E-12
-72.8751393175,82.7081937535,1.6517364E-12
-81.2084726175,82.6248604205,6.104797E-12
-78.9584726265,82.6248604205,1.6517364E-12
-67.2084726735,82.5415270875,1.6517364E-12
-48.8751394135,82.5415270875,1.2579345E-13
-42.4584727725,82.5415270875,1.0081212E-10
-40.9584727785,82.5415270875,6.104797E-12
-85.5418059335,82.4581937545,1.2579345E-13
-22.8751395175,82.3748604215,1.480225E-13
-41.2918061105,82.2915270885,1.6517364E-12
-68.4584726685,82.2081937555,4.8819873E-13
-56.3751393835,82.1248604225,1.6517364E-12
-56.2084727175,82.1248604225,1.6517364E-12
-48.8751394135,82.1248604225,6.104797E-12
-87.3751392595,82.0415270895,1.05557436E-13
-71.7918059885,82.0415270895,4.8819873E-13
-67.1251393405,82.0415270895,1.8043764E-12
-59.9584727025,82.0415270895,1.6517364E-12
-43.6251394345,82.0415270895,6.104797E-12
-72.7084726515,81.9581937565,1.6517364E-12
-16.1251395445,81.9581937565,2.42243E-11
-73.2918059825,81.7915270905,1.6517364E-12
-22.8751395175,81.7915270905,6.104797E-12
-15.5418062135,81.7915270905,1.0180483E-10
-67.1251393405,81.7081937575,6.104797E-12
-66.7084726755,81.7081937575,6.104797E-12
-61.7918060285,81.7081937575,6.104797E-12
-58.3751393755,81.7081937575,6.104797E-12
-56.6251393825,81.7081937575,3.61374E-12
-51.8751394015,81.7081937575,6.104797E-12
-26.8751395015,81.7081937575,4.8819873E-13
62.9581934725,81.7081937575,9.2997954E-10
-65.6251393465,81.6248604245,6.104797E-12
-56.0418060515,81.6248604245,3.61374E-12
-47.6251394185,81.6248604245,3.970093E-10
-81.2084726175,81.5415270915,5.1227364E-12
-54.6251393905,81.5415270915,7.998269E-11
-50.1251394085,81.3748604255,3.7733106E-10
-18.7084728675,81.3748604255,1.958339E-11
-17.9584728705,81.3748604255,1.958339E-11
-55.8751393855,81.2915270925,3.3080379E-12
-31.0418061515,81.2081937595,1.6517364E-12
-69.6251393305,81.1248604265,6.104797E-12
-55.7084727195,81.1248604265,5.1227364E-12
-54.0418060595,81.1248604265,5.1227364E-12
-45.8751394255,81.1248604265,1.6517364E-12
-36.8751394615,81.1248604265,1.6517364E-12
-35.1251394685,81.1248604265,1.6517364E-12
-25.4584728405,81.1248604265,6.104797E-12
-14.2918062185,81.1248604265,5.973556E-11
95.7915266745,81.1248604265,2.1973355E-13
-62.9584726905,81.0415270935,1.6517364E-12
-52.2918060665,81.0415270935,5.1227364E-12
-39.2084727855,81.0415270935,1.6517364E-12
-73.4584726485,80.9581937605,1.6517364E-12
-72.8751393175,80.9581937605,1.6517364E-12
-55.4584727205,80.9581937605,5.1227364E-12
-43.1251394365,80.9581937605,1.6517364E-12
-39.8751394495,80.9581937605,1.6517364E-12
-17.6251395385,80.9581937605,7.32584E-11
64.6248601325,80.9581937605,1.7717004E-10
-38.2918061225,80.8748604275,1.6517364E-12
-84.0418059395,80.7915270945,3.1266126E-10
-23.9584728465,80.7081937615,6.104797E-12
-55.2084727215,80.6248604285,5.1227364E-12
-53.7918060605,80.6248604285,5.1227364E-12
-40.2918061145,80.5415270955,1.6517364E-12
-29.6251394905,80.5415270955,1.6517364E-12
-61.9584726945,80.4581937625,2.7209185E-10
-61.1251393645,80.4581937625,3.3053786E-9
-58.8751393735,80.4581937625,1.1183179E-8
-41.1251394445,80.4581937625,3.3080379E-12
-96.6251392225,80.3748604295,3.9013893E-13
-56.7918060485,80.3748604295,5.1227364E-12
-25.6251395065,80.3748604295,6.104797E-12
47.2081935355,80.3748604295,3.8344602E-10
-82.4584726125,80.2915270965,7.2216046E-9
-38.9584727865,80.2915270965,1.6517364E-12
-32.6251394785,80.2915270965,1.6517364E-12
-24.2084728455,80.2915270965,2.707621E-10
19.2081936475,80.2915270965,1.0297546E-11
-48.0418060835,80.2081937635,3.3080379E-12
54.3748601735,80.2081937635,3.403514E-14
60.2081934835,80.2081937635,5.0173055E-10
-96.4584725565,80.1248604305,3.9013893E-13
-76.6251393025,80.1248604305,5.1227364E-12
-65.7084726795,80.1248604305,6.104797E-12
92.2081933555,80.0415270975,1.2579345E-13
-42.2918061065,79.9581937645,3.3080379E-12
-31.1251394845,79.9581937645,1.6517364E-12
-30.7918061525,79.9581937645,1.6517364E-12
-27.3751394995,79.9581937645,1.6517364E-12
95.1248600105,79.9581937645,4.8819873E-13
-86.4584725965,79.8748604315,1.351171E-10
-83.4584726085,79.8748604315,3.6058192E-9
-72.6251393185,79.8748604315,1.2579345E-13
