Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.10637E-13,0.000000001,0,0.907513729,0.000108295,0
1.72215E-13,0.000000003,0,0.891912132,0.000108295,0
6.06961E-13,0.00000001,0,0.867199201,0.000108295,0
1.14564E-12,0.000000025,0,0.844732901,0.000108295,0
3.88991E-12,0.000000101,0.000000001,0.801797304,0.000108295,0
8.80077E-12,0.000000288,0.000000002,0.765976036,0.000108295,0
3.32234E-11,0.000001002,0.000000009,0.719420869,0.000108295,0
6.54291E-11,0.000002559,0.000000017,0.680479281,0.000216591,0
2.77399E-10,0.000010022,0.000000073,0.613579631,0.000433182,0
6.52719E-10,0.000025009,0.000000173,0.571143285,0.000541477,0
1.21665E-9,0.00005002,0.000000322,0.536195706,0.000541477,0
2.20358E-9,0.000100038,0.000000583,0.498252621,0.000758068,0
4.65366E-9,0.000251085,0.000001231,0.440214678,0.001082954,0
9.85105E-9,0.000500553,0.000002605,0.394033949,0.002382499,0
2.24643E-8,0.001001395,0.00000594,0.353095357,0.003140567,0
5.72192E-8,0.002501433,0.00001513,0.302920619,0.004873294,0
1.28867E-7,0.005001669,0.000034074,0.267723415,0.009746589,0
2.96498E-7,0.010017432,0.000078395,0.236395407,0.011046134,0
8.8562E-7,0.025149104,0.000234123,0.200574139,0.015811133,0
1.94428E-6,0.050099815,0.000513848,0.177234149,0.024474767,0
3.84751E-6,0.100211277,0.001016335,0.154518223,0.027615335,0
8.46409E-6,0.200635131,0.002233102,0.133549675,0.040610786,0
1.47802E-5,0.300215567,0.003893001,0.122566151,0.048516353,0
1.91773E-5,0.400857404,0.005045323,0.115077384,0.057071692,0
2.33661E-5,0.501617139,0.006140601,0.109211183,0.059345896,0
2.88596E-5,0.601720737,0.00757335,0.104468298,0.06183669,0
3.49151E-5,0.700457116,0.009147884,0.100599101,0.065951917,0
3.7789E-5,0.750274739,0.009893431,0.098976535,0.066709985,0
4.15138E-5,0.802168218,0.01085801,0.097353969,0.068767598,0
4.71174E-5,0.904263508,0.012305605,0.094483275,0.072882824,0
5.22959E-5,1.003515933,0.013639632,0.091987019,0.076023392,0
5.53763E-5,1.100448377,0.014431447,0.089740389,0.076239983,0
5.94071E-5,1.204110601,0.015465664,0.087493759,0.076889755,0
6.48819E-5,1.303564511,0.016866891,0.085496755,0.078622482,0
6.76401E-5,1.402170199,0.017571329,0.083624563,0.079272255,0
7.01778E-5,1.505360767,0.018218535,0.081752371,0.079705436,0
8.25446E-5,1.752198149,0.021360451,0.077758362,0.082629413,0
9.76468E-5,2.003315418,0.025170167,0.074263605,0.089993502,0
1.10521E-4,2.256565168,0.028394489,0.071268098,0.098548841,0
1.22614E-4,2.506825196,0.031403763,0.068647029,0.101472818,0
1.37986E-4,2.755714978,0.035202285,0.066275587,0.107862248,0
1.44378E-4,3.008620988,0.036773064,0.064028957,0.108620316,0
1.54721E-4,3.254911417,0.03930388,0.061907139,0.109811566,0
1.64159E-4,3.50400569,0.041601676,0.060034948,0.113060429,0
1.8241E-4,3.758489777,0.046014085,0.058162756,0.116417587,0
1.9193E-4,4.006187042,0.048299461,0.05654019,0.120641109,0
2.13345E-4,4.250119516,0.053400846,0.055042436,0.123565086,0
2.26282E-4,4.506662715,0.056456083,0.053544683,0.125406108,0
2.363E-4,4.750028397,0.058808653,0.052171742,0.135477583,0
2.60412E-4,5.018725809,0.064422752,0.050923615,0.14100065,0
2.74361E-4,5.260801238,0.067640222,0.0498003,0.144574399,0
2.89622E-4,5.515204568,0.071135042,0.048676985,0.145765649,0
2.98728E-4,5.751640447,0.073207712,0.047678482,0.149231102,0
3.08983E-4,6.026184048,0.07553102,0.046555167,0.150314057,0
3.21154E-4,6.281244814,0.078273426,0.045556665,0.152588261,0
3.27291E-4,6.508165052,0.079650142,0.044682976,0.153238033,0
3.51249E-4,6.758861621,0.084984924,0.043684473,0.155945419,0
3.77391E-4,7.001529784,0.090736199,0.042935597,0.157894737,0
4.02279E-4,7.273912489,0.096144748,0.042061907,0.160277236,0
4.06912E-4,7.51702332,0.097144483,0.04131303,0.160602123,0
4.21447E-4,7.765312784,0.100266494,0.040564154,0.161793372,0
4.33331E-4,8.01138189,0.102803132,0.039815277,0.162659736,0
4.4373E-4,8.251551276,0.105011128,0.0390664,0.163092917,0
4.56313E-4,8.512063231,0.107668388,0.038442336,0.164067576,0
4.63142E-4,8.834164898,0.109103922,0.037568647,0.164067576,0
4.828E-4,9.024208628,0.113210486,0.037069396,0.165042235,0
4.91724E-4,9.26826212,0.115062273,0.036445332,0.165692008,0
5.09059E-4,9.520701108,0.118637513,0.035821268,0.166991553,0
5.28643E-4,9.755329385,0.122641877,0.035197204,0.170240416,0
5.53645E-4,10.004375948,0.127701405,0.03457314,0.172081438,0
5.71685E-4,10.280524198,0.131315961,0.034073889,0.17392246,0
5.79119E-4,10.511205808,0.132796943,0.033574638,0.174030756,0
6.0343E-4,10.793373772,0.137604486,0.032950574,0.176196665,0
6.19579E-4,11.052601292,0.140768638,0.032451323,0.178037687,0
6.47058E-4,11.260748539,0.146099754,0.031952072,0.180961663,0
6.59718E-4,11.504192934,0.148533652,0.031577634,0.182152913,0
6.721E-4,11.771206219,0.150900844,0.031078382,0.183452458,0
6.83503E-4,12.000278185,0.15306914,0.030579131,0.18388564,0
7.03406E-4,12.252655475,0.156827386,0.030204693,0.184643708,0
7.26215E-4,12.538230541,0.161093497,0.029705442,0.185618367,0
7.4879E-4,12.761386776,0.165273507,0.029331003,0.193632229,0
7.76282E-4,13.067611577,0.170308219,0.028831752,0.209226771,0
8.04812E-4,13.254219444,0.175468986,0.028457314,0.212583929,0
8.40043E-4,13.506887892,0.181754104,0.028082876,0.214100065,0
8.68829E-4,13.815617972,0.186818852,0.027708437,0.215074724,0
8.82411E-4,14.079081734,0.189186726,0.027333999,0.215832792,0
8.88112E-4,14.26604126,0.1901766,0.026959561,0.215832792,0
8.99273E-4,14.525636708,0.192107398,0.026709935,0.217132337,0
9.3409E-4,14.802435604,0.198071996,0.026335497,0.222113927,0
9.59416E-4,15.088694724,0.202355574,0.025961058,0.222547109,0
9.69721E-4,15.282132545,0.204085596,0.025711433,0.222547109,0
9.8184E-4,15.576100833,0.206110474,0.025336995,0.222763699,0
9.97528E-4,15.77548734,0.208716362,0.025087369,0.224388131,0
1.04202E-3,16.036093823,0.216014587,0.024712931,0.226229153,0
1.04946E-3,16.294060081,0.217222695,0.024463305,0.226337449,0
1.05101E-3,16.504246906,0.217472317,0.024213679,0.226445744,0
1.07683E-3,16.823404837,0.221631975,0.023839241,0.227636994,0
1.09836E-3,17.006917066,0.225065353,0.023589616,0.230885857,0
1.11495E-3,17.307329818,0.227690175,0.023215177,0.231102447,0
1.1297E-3,17.50083057,0.230010771,0.022965552,0.234892788,0
1.16642E-3,17.750534851,0.235724233,0.022715926,0.238249946,0
1.1948E-3,18.062801779,0.240083248,0.022466301,0.239982673,0
1.21148E-3,18.255599759,0.24262128,0.022216675,0.242040286,0
1.22256E-3,18.562468785,0.24429773,0.021967049,0.242690058,0
1.23259E-3,18.808539575,0.245809531,0.021717424,0.243014945,0
1.24365E-3,19.046346298,0.24747002,0.021467798,0.243231536,0
1.25963E-3,19.306884157,0.249854072,0.021218173,0.243339831,0
1.26929E-3,19.523032026,0.2512886,0.020968547,0.243556422,0
1.27789E-3,19.815511414,0.252562153,0.020718922,0.243664717,0
1.28361E-3,20.072049548,0.253406199,0.020469296,0.243664717,0
1.28929E-3,20.266265868,0.254242662,0.02021967,0.243773013,0
1.30796E-3,20.538404754,0.256977655,0.019970045,0.244531081,0
1.33328E-3,20.857121479,0.260655911,0.019720419,0.246047217,0
1.33929E-3,21.124921086,0.261522876,0.019470794,0.246696989,0
1.34345E-3,21.259266157,0.262122856,0.019345981,0.246696989,0
1.36423E-3,21.531701321,0.265101858,0.019096355,0.247779944,0
1.37329E-3,21.805943989,0.26639457,0.01884673,0.247996535,0
1.4024E-3,22.01668754,0.270513814,0.018597104,0.248538012,0
